business_id,name,stars,review_count,categories
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4.0,80,Restaurants
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,2.0,6,Restaurants
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,3.0,19,Restaurants
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,1.5,10,Restaurants
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,4.0,10,Restaurants
il_Ro8jwPlHresjw9EGmBg,Denny's,2.5,28,Restaurants
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,4.5,100,Restaurants
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4.0,245,Restaurants
ROeacJQwBeh05Rqg7F6TCg,BAP,4.5,205,Restaurants
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,4.0,40,Restaurants
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,4.0,20,Restaurants
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,2.5,339,Restaurants
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,4.0,6,Restaurants
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,4.0,161,Restaurants
QdN72BWoyFypdGJhhI5r7g,Bar One,4.0,65,Restaurants
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3.5,8,Restaurants
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,3.0,41,Restaurants
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,3.5,109,Restaurants
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,3.5,65,Restaurants
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,2.5,20,Restaurants
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,3.0,94,Restaurants
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,3.0,23,Restaurants
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,3.5,159,Restaurants
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,5.0,12,Restaurants
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,5.0,20,Restaurants
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,4.0,23,Restaurants
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,4.0,35,Restaurants
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,2.5,38,Restaurants
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,3.5,257,Restaurants
L_TT0BFmFwORAMaA83K54A,Village Tap Room,2.5,23,Restaurants
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,3.0,114,Restaurants
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,2.5,29,Restaurants
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,4.5,25,Restaurants
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,3.5,9,Restaurants
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,4.5,95,Restaurants
ppFCk9aQkM338Rgwpl2F5A,Wawa,3.0,56,Restaurants
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,3.5,6,Restaurants
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,4.0,389,Restaurants
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,4.5,350,Restaurants
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,4.5,6,Restaurants
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,4.5,593,Restaurants
RK6-cJ9hj53RzOlCBmpT-g,Impasto,5.0,5,Restaurants
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,4.5,5,Restaurants
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,3.5,80,Restaurants
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,2.5,14,Restaurants
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,4.0,382,Restaurants
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,4.0,23,Restaurants
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,4.0,129,Restaurants
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,4.0,73,Restaurants
VZzivJEbmHItOxNXJB3SpA,Subway,2.5,14,Restaurants
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,4.0,22,Restaurants
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,3.5,29,Restaurants
