business_id,name,stars,review_count,categories
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4.0,245,Restaurants
ppFCk9aQkM338Rgwpl2F5A,Wawa,3.0,56,Restaurants
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,3.0,137,Restaurants
FRYkg_JvsWU9xIXZsEZcVA,Altamura,3.5,27,Restaurants
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,4.0,2404,Restaurants
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,3.0,1639,Restaurants
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,4.0,108,Restaurants
dChRGpit9fM_kZK5pafNyA,The Love,4.0,618,Restaurants
JPm93BlP-UHYPqFgK66JUw,Local Links,4.5,70,Restaurants
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,4.5,132,Restaurants
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,3.5,26,Restaurants
dIpTuL2T1L98GQGU17IeSw,The Bricks,4.0,548,Restaurants
diwwt5QBU3-Thig9SVlsOA,Brew Brothers,3.5,592,Restaurants
lB6jIOb1UBATmdfot4KJew,Soco's Gyros,4.0,126,Restaurants
cm0bhBDPM3bjBefmEXa3BQ,Nudy's Cafe - Chadds Ford,3.5,63,Restaurants
dBCNUSbz5-8nQNrxWo5deg,Blue Sage Vegetarian Grille,4.5,572,Restaurants
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4.0,301,Restaurants
skN2XhKXlcjf53uIwzAedw,Burger Up - Franklin,3.5,329,Restaurants
rBE5TT_ndOOczNBrbRnJwA,Dio Modern Mediteranean,4.0,325,Restaurants
dUctvEfHQccW_uxtRup2QQ,Tsunami Japanese Steakhouse,3.0,212,Restaurants
CjkxTRergWcYWb4SVW3gxw,Smokin' Out,4.5,88,Restaurants
E3xBC7Bb6KRlZeqcY3bWtA,Build-a-Burger,2.5,38,Restaurants
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,4.0,485,Restaurants
lj-E32x9_FA7GmUrBGBEWg,Brio Italian Grille,3.5,366,Restaurants
5QCLmv-JrdY0ZGc_D5__iw,Wheel Cafe,4.5,68,Restaurants
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,2.5,172,Restaurants
dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,4.0,277,Restaurants
v8IbZ6wcvdyGqWpbDKDvfA,YO! Sushi,4.0,121,Restaurants
68ThEdiK0eWCEgGEmV9Tng,Southgate,4.0,323,Restaurants
9dm_v79s9-pefMahqp1SkA,Loco Mexican Restaurant & Cantina,4.0,178,Restaurants
WQ832PDnsDshhbQFm83ISg,Villagio Cinemas,3.0,285,Restaurants
Y3ZCO17N1_T_Ms1JmswwzA,Taqueria Pico De Gallo,4.0,397,Restaurants
